source,day,cost
facebook_ads,2020-05-03,935.8827861181093
facebook_ads,2020-05-04,548.3544798464085
facebook_ads,2020-05-05,260.1857541599931
facebook_ads,2020-05-06,177.98220002394925
facebook_ads,2020-05-07,111.76679630791737
facebook_ads,2020-05-08,68.00927644938884
facebook_ads,2020-05-09,38.72335020874958
instagram_new_adverts,2020-05-03,943.204717396566
instagram_new_adverts,2020-05-04,502.9254509795575
instagram_new_adverts,2020-05-05,313.9709836889799
instagram_new_adverts,2020-05-06,173.07114530723032
instagram_new_adverts,2020-05-07,109.9152542123006
instagram_new_adverts,2020-05-08,71.57873946363169
instagram_new_adverts,2020-05-09,46.77539970225819
yandex_direct,2020-05-03,969.1393939421929
yandex_direct,2020-05-04,554.651494084481
yandex_direct,2020-05-05,308.23298964001833
yandex_direct,2020-05-06,180.9170994051929
yandex_direct,2020-05-07,114.42933758231891
yandex_direct,2020-05-08,62.96162990714095
yandex_direct,2020-05-09,42.77950456708097
youtube_channel_reklama,2020-05-03,454.2249428272156
youtube_channel_reklama,2020-05-04,259.07322428345844
youtube_channel_reklama,2020-05-05,147.04174140337514
youtube_channel_reklama,2020-05-06,88.5060742302988
youtube_channel_reklama,2020-05-07,55.74064466746921
youtube_channel_reklama,2020-05-08,40.217907115336864
youtube_channel_reklama,2020-05-09,23.314669267402746
